Brand,Brand_Style,ABV,Calories,Fat_grams,Calories_from_fat,Saturated_fat_grams,Trans_fat_grams,Cholesterol_mg,Sodium_mg,Carbs_mg,Fiber_grams,Sugars_grams,Protein_grams,Ingredients
Aguila,International Pale Lager,3.9,126,0,0,0,0,0,10,13.7,0,2,1,"Water, Barley Malt, Yeast, Hops, Rice, Sugar"
Arnold Palmer Spiked Half & Half,Flavored Malt Beverage,5,206,0,0,0,0,0,5,28.3,0,26,< 1.0,Ingredient list to come.
Barmen,German-Style Pilsner,5,156,0,0,0,0,0,20,12.9,0,0,1.9,"Water, Barley Malt, Yeast, Hops"
Batch 19,Pre-Prohibition Style Lager,5.5,174,0,0,0,0,0,15,15,0,0,1.6,"Water, Barley Malt, Corn Syrup (Dextrose), Hops, Yeast"
Blue Moon Belgian White,Belgian-Style Wheat Ale,5.4,168,0,0,0,0,0,10,14.1,0,0,1.9,"Water, Barley Malt, Wheat, Yeast, Hop Extract, Oats, Orange Peel, Coriander"
Blue Moon Cappuccino Oatmeal Stout,Oatmeal Stout,5.9,196,0,0,0,0,0,10,18.8,0,1,1.8,"Water, Barley Malt,Oats, Corn Syrup (Maltose), Cocoa, Hops, Yeast, Decaffeinated Coffee, Sucrose"
Blue Moon Harvest Pumpkin Wheat,Herb & Spice Beer,5.7,180,0,0,0,0,0,10,15.5,0,1,2,"Water, Barley Malt, Wheat, Yeast, Hops, Sucrose, Pumpkin, Spices"
Blue Moon Honey Wheat,American Wheat Beer,5.2,153,0,0,0,0,0,10,11.7,0,3,1.4,"Water, Barley Malt, Wheat, Corn Syrup (Dextrose), Yeast, Hops, Honey, Orange peel"
Blue Moon Iced Coffee Blonde,Blonde Ale,5.4,185,0,0,0,0,0,10,17.2,TBD,5,3,"Water, Barley Malt, Wheat, Oats, Corn Syrup (Maltose), Decaffeinated Coffee, Hops, Honey, Yeast"
Blue Moon LightSky,Ale with Tangerine Peel,4,95,0,0,0,0,0,5,3.6,0,0,1.1,"Water, Barley Malt, Wheat Malt, Corn Syrup (Dextrose), Tangerine Peel, Hops, Yeast, Natural Flavors"
Blue Moon Mango Wheat,Fruit Beer,5.4,175,0,0,0,0,0,10,15.7,0,2,2.1,"Water, Barley Malt, Wheat, Mango, Yeast, Hops, Honey, Natural Flavor"
Blue Moon Pacific Apricot Wheat,Fruit Beer,5.6,178,0,0,0,0,0,10,16.4,0,1,1.2,"Water, Barley Malt, Wheat, Apricot, Yeast, Hops, Cardamom, Hop Extract, Lactic Acid"
Blue Moon Winter Wheat,Spiced Abbey Ale,5.9,187,0,0,0,0,0,10,15.9,0,0,2.5,"Water, Barley Malt, Wheat, Oats, Yeast, Hops, Orange Peel, Cinnamon, Ginger, Mace"
Cape Line Blackberry Mojito,Sparkling Cocktail,4.5,120,0,0,0,0,0,5,9,0,8,0,"Carbonated water, alcohol from real cane sugar, real cane sugar, lime juice concentrate, natural flavor, fruit juice (color) "
 Cape Line Hard Strawberry Lemonade,Sparkling Cocktail,4.5,120,0,0,0,0,0,10,10,0,9,0,"Carbonated water, alcohol from real cane sugar, real cane sugar, lemon juice concentrate, natural flavor, fruit juice (color)"
Cape Line Margarita,Sparkling Cocktail,4.5,120,0,0,0,0,0,5,9,0,8,0,"Carbonated water, alcohol from real cane sugar, real cane sugar, lime juice concentrate, natural flavor, agave "
 Cape Line White Peach Sangria,Sparkling Cocktail,4.5,100,0,0,0,0,0,5,4,0,3,0,"Carbonated water, alcohol from real cane sugar, real cane sugar, lemon juice concentrate, natural flavor, apple extract"
Colorado Native Amber Lager,American Amber Lager,5.5,171,0,0,0,0,0,20,14.9,0,1,1.3,"Water, Barley Malt, Yeast, Hops"
Colorado Native Apricot,Fruited Barrel-Aged Sour,5.9,169,0,0,0,0,0,25,12.5,0,4,1.4,"Water, Barley Malt, Wheat Malt, Yeast, Hops, Apricots and Beet Sugar With House Cultures"
Colorado Native Golden Lager,American Amber Lager,5.5,166,0,0,0,0,0,20,12.9,0,1,2,"Water, Barley Malt, Yeast, Hops"
Colorado Native Imperial Porter,Imperial Porter,9.5,280,0,0,0,0,0,25,22.8,0,1,2.5,"Water, Barley Malt, Wheat Malt, Beet Sugar, Yeast, Hops"
Colorado Native Kriek,Fruited Barrel-Aged Sour,6.6,199,0,0,0,0,0,30,15.6,0,7,2.3,"Water, Barley Malt, Wheat Malt, Yeast, Hops, Montmorency and Bing Cherries and Beet Sugar with House Cultures"
Colorado Native LoCal,American-Style Light Lager,4.1,99,0,0,0,0,0,15,5,0,1,< 1.0,"Water, Barley Malt, Wheat Malt, Beet Sugar, Yeast, Hops"
Colorado Native Olathe,American Lager,5.1,153,0,0,0,0,0,20,11.6,0,< 1,1.8,"Water, Barley Malt, Yeast, Hops"
Colorado Native Peche,Fruited Barrel-Aged Sour,5.8,151,0,0,0,0,0,20,8.8,0,2,1.2,"Water, Barley Malt, Wheat Malt, Yeast, Hops, Palisade Peaches and Beet Sugar with House Cultures"
Colorado Native Pilsner,American-Style Pilsner,5,159,0,0,0,0,0,15,13.8,0,< 1,1.9,"Water, Barley Malt, Yeast, Hops"
Colorado Native Plum,Fruited Barrel-Aged Sour,7,197,0,0,0,0,0,30,13.8,0,3,1.5,"Water, Barley Malt, Wheat Malt, Yeast, Hops, Duarte Plums and Beet Sugar with House Cultures"
Colorado Native Saison,Saison,5.3,140,0,0,0,0,0,20,7.3,0,< 1,1.6,"Water, Barley Malt, Wheat Malt, Raw Wheat, Hops, Yeast"
Colorado Native West Slope IPA,American IPA,5.5,182,0,0,0,0,0,15,16.1,0,3,2.7,"Water, Barley Malt, Yeast, Hops"
Colorado Native Winterfest,German-Style Bock,7,211,0,0,0,0,0,25,17.4,0,1,2.5,"Water, Barley Malt, Yeast, Hops"
Coors Banquet,American-Style Lager,5,147,0,0,0,0,0,15,11.7,0,0,1,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract"
Coors Edge,Non-Alcoholic Lager,< 0.5,41,0,0,0,0,0,15,8,0,4, < 1.0,Ingredient list to come.
Coors Light,American-Style Light Lager,4.2,102,0,0,0,0,0,10,5,0,1,< 1.0,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract"
Coors Non-Alcoholic,Non-Alcoholic Lager,< 0.5,58,0,0,0,0,0,0,12.2,0,8,< 1.0,"Water, Barley Malt, Corn Syrup (Dextrose & Maltose), Yeast, Hops & Hop Extract"
Crispin Blackberry Pear,Pear Cider,5,180,0,0,0,0,0,10,16,0,13,0,"Fresh-Pressed Hard Pear Cider, Filtered Water, Juice Concentrates as Finishing Sweeteners (Pear, Apple, Elderberry, Blackberry), Natural Flavors, Malic Acids, Raspberry Juice Concentrate(Finishing Sweetener), Contains Sulfites"
Crispin Browns Lane,English-Style Cider,5.8,170,0,0,0,0,0,10,14,0,12,0,"Hard Apple Cider, Filtered Water, Sucrose, Malic Acid, Sulfites"
 Crispin Brut,Apple Cider,5.5,170,0,0,0,0,0,5,13,0,10,0,"Fresh-PressedHard Apple Cider,Filtered Water, Apple Juice Concentrate (Finishing Sweetener), Natural Flavor, Malic Acid, Contains Sulfites"
Crispin Honey Crisp,Apple Cider,6.5,200,0,0,0,0,0,5,16,0,14,0,"Fresh-Pressed Hard Apple Cider,Filtered Water, Organic Honey, Natural Flavor, Malic Acid, Contains Sulfites"
Crispin Original Cider,Apple Cider,5,170,0,0,0,0,0,5,15,0,13,0,"Fresh-Pressed Hard Apple Cider,Filtered Water, Apple Juice Concentrate (Finishing Sweetener), Natural Flavor, Malic Acid, Contains Sulfites"
Crispin Pacific Pear,Pear Cider,4.5,170,0,0,0,0,0,10,18,0,15,0,"Fresh-Pressed Hard Pear Cider,Filtered Water, Pear and Apple Juice Concentrates (Finishing Sweeteners), Natural Flavor, Malic Acid, Contains Sulfites"
Crispin Pearsecco,Pear Cider,4.5,135,0,0,0,0,0,5,9,0,7,0,"Fresh-Pressed Hard Pear Cider,Filtered Water, Pear Juice Concentrate (Finishing Sweetener), Natural Flavors, Malic Acid, Contains Sulfites"
Crispin Rose,Hard Cider,5,160,0,0,0,0,0,10,13,0,10,0,"Filtered Water, Fresh-Pressed Hard Apple Cider, Fresh-Pressed Hard Pear Cider, Pear Juice Concentrate (Finishing Sweetener), Natural Flavors, Malic Acid, Contains Sulfites"
Crispin The Saint,Apple Cider,6.9,230,0,0,0,0,0,10,20,0,17,0,"Fresh-Pressed Hard Apple Cider,Filtered Water, Organic Maple Syrup, Apple Juice Concentrate (Finishing Sweetener), Malic Acid, Contains Sulfites"
Cristal,International Pale Lager,4.6,132,0,0,0,0,0,10,10.3,0,0,1.1,"Water, Malted Barley, Maize, Yeast, Hops"
